goos: darwin
goarch: arm64
pkg: github.com/jackielii/structpages
cpu: Apple M1 Pro
BenchmarkURLGeneration/URLFor_NoParams-8         	14448445	       167.2 ns/op	      88 B/op	       5 allocs/op
BenchmarkURLGeneration/URLFor_NoParams-8         	14163280	       167.6 ns/op	      88 B/op	       5 allocs/op
BenchmarkURLGeneration/URLFor_NoParams-8         	14317515	       167.7 ns/op	      88 B/op	       5 allocs/op
BenchmarkURLGeneration/URLFor_OneParam_Positional-8         	 8345761	       289.4 ns/op	     184 B/op	       8 allocs/op
BenchmarkURLGeneration/URLFor_OneParam_Positional-8         	 8332729	       288.2 ns/op	     184 B/op	       8 allocs/op
BenchmarkURLGeneration/URLFor_OneParam_Positional-8         	 8237373	       289.9 ns/op	     184 B/op	       8 allocs/op
BenchmarkURLGeneration/URLFor_MultipleParams_Positional-8   	 5144449	       465.9 ns/op	     402 B/op	      11 allocs/op
BenchmarkURLGeneration/URLFor_MultipleParams_Positional-8   	 5144085	       468.2 ns/op	     402 B/op	      11 allocs/op
BenchmarkURLGeneration/URLFor_MultipleParams_Positional-8   	 5101323	       470.8 ns/op	     402 B/op	      11 allocs/op
BenchmarkURLGeneration/URLFor_WithMap-8                     	 8004771	       299.2 ns/op	     184 B/op	       8 allocs/op
BenchmarkURLGeneration/URLFor_WithMap-8                     	 7998878	       302.7 ns/op	     184 B/op	       8 allocs/op
BenchmarkURLGeneration/URLFor_WithMap-8                     	 8003395	       301.5 ns/op	     184 B/op	       8 allocs/op
BenchmarkURLGeneration/URLFor_WithContext-8                 	 9969964	       237.3 ns/op	     168 B/op	       6 allocs/op
BenchmarkURLGeneration/URLFor_WithContext-8                 	10167288	       236.4 ns/op	     168 B/op	       6 allocs/op
BenchmarkURLGeneration/URLFor_WithContext-8                 	10158540	       236.2 ns/op	     168 B/op	       6 allocs/op
BenchmarkURLGeneration/URLFor_Repeated_10Times-8            	  811504	      2912 ns/op	    1840 B/op	      80 allocs/op
BenchmarkURLGeneration/URLFor_Repeated_10Times-8            	  839832	      2934 ns/op	    1840 B/op	      80 allocs/op
BenchmarkURLGeneration/URLFor_Repeated_10Times-8            	  823405	      2915 ns/op	    1840 B/op	      80 allocs/op
BenchmarkURLGenerationStrict/Bare_UniqueType-8              	10812242	       221.8 ns/op	     104 B/op	       5 allocs/op
